Nom Officiel Département,revenu_median_60_74,hopital_court_sejour,services_urgence,dispensaire,soins_domicile_personnes_agees,aide_menagere_personnes_agees,foyer_restaurant_personnes_agees,repas_domicile_personnes_agees,revenu_median_75_plus,access_med_generalistes,60_74_appart_ascenseur,60_74_appart_sans_ascenseur,60_74_menage_2ans,60_74_autre_logement,60_74_menage_30ans_plus,60_74_en_maison,60_74_isoles,60_74_menage_peu_diplome,60_74_menage_immigre,60_74_proprietaires,femmes_60_74_isolees,60_74_sans_voiture,femmes_75_plus_isolees,75_plus_appart_ascenseur,75_plus_autre_logement,75_plus_menage_30ans_plus,75_plus_en_maison,75_plus_menage_peu_diplome,75_plus_menage_immigre,75_plus_proprietaires,75_plus_sans_voiture
Saône-et-Loire,906340.0,16,6,28,27,101,9,7,817990.0,1633.554929295,7927.0,12310.0,7218.0,411.0,44757.0,84836.0,24466.0,40438.0,9455.0,83535.0,15197.0,6665.0,20952.0,7470.0,1005.0,34533.0,45466.0,40667.0,4222.0,46592.0,17227.0
Seine-Maritime,2006910.0,27,13,36,41,156,0,1,1731990.0,2561.919378024,24887.0,31536.0,13788.0,834.0,80247.0,140473.0,48022.0,85094.0,10194.0,139633.0,32515.0,21545.0,38506.0,20698.0,806.0,53049.0,65473.0,67931.0,3515.0,70690.0,35641.0
Seine-Saint-Denis,825850.0,19,12,109,31,59,0,0,834450.0,145.405,58645.0,49148.0,9853.0,1385.0,57063.0,64890.0,43392.0,84121.0,67099.0,95032.0,28130.0,50825.0,26098.0,25720.0,1008.0,43765.0,32377.0,49701.0,19444.0,48343.0,36660.0
Seine-et-Marne,3438750.0,18,11,7,19,102,0,0,2290790.0,1441.133850622,15430.0,26742.0,10002.0,1123.0,68887.0,134983.0,36733.0,66619.0,28496.0,142003.0,24560.0,15691.0,23701.0,9123.0,1174.0,40957.0,54880.0,44947.0,8544.0,60129.0,21274.0
Somme,812820.0,20,6,4,24,104,4,0,703400.0,2896.456144137,4069.0,6754.0,5351.0,374.0,44188.0,80366.0,20347.0,43119.0,3382.0,73009.0,13227.0,9033.0,15474.0,2672.0,178.0,29112.0,40453.0,32796.0,1261.0,38251.0,14890.0
Tarn,839670.0,9,5,18,15,78,0,2,655580.0,1035.168667605,1428.0,5188.0,5313.0,165.0,29831.0,63475.0,15709.0,25795.0,5329.0,58727.0,9845.0,3647.0,12556.0,1564.0,242.0,27471.0,39213.0,29506.0,3220.0,36925.0,10186.0
Tarn-et-Garonne,408530.0,5,3,4,11,33,0,2,361240.0,657.134,914.0,3560.0,3569.0,187.0,16778.0,38660.0,9471.0,17627.0,4410.0,35789.0,5746.0,2274.0,6833.0,748.0,197.0,13779.0,21826.0,16424.0,2400.0,20468.0,5498.0
Territoire de Belfort,271870.0,2,1,9,3,9,2,5,254670.0,390.101706911,2325.0,5513.0,1505.0,41.0,10016.0,14568.0,5552.0,8048.0,2486.0,16270.0,3510.0,2104.0,4056.0,1662.0,56.0,7441.0,7445.0,6794.0,997.0,8648.0,3651.0
Val-d'Oise,2123420.0,15,9,28,14,376,25,12,1630240.0,571.996783823,24781.0,31150.0,7553.0,1164.0,54397.0,91898.0,31507.0,55438.0,35521.0,107571.0,21458.0,20495.0,21398.0,12807.0,1112.0,36654.0,38635.0,36418.0,10514.0,48733.0,21937.0
Val-de-Marne,1226360.0,22,10,63,28,78,0,0,1151870.0,154.248,65934.0,44352.0,9879.0,1948.0,58963.0,59234.0,45796.0,61350.0,44552.0,104425.0,31305.0,37971.0,32128.0,37563.0,1635.0,51823.0,30557.0,48716.0,15322.0,61507.0,36832.0
Var,2185100.0,22,10,15,29,162,5,14,1961760.0,517.932,29268.0,43633.0,21403.0,1325.0,45046.0,130659.0,49536.0,67109.0,18715.0,154770.0,31879.0,16152.0,35998.0,25186.0,1164.0,45005.0,66722.0,63855.0,10124.0,91822.0,31989.0
Vaucluse,1138050.0,20,10,14,15,56,0,2,1070880.0,508.715,4003.0,16819.0,8429.0,473.0,32257.0,75612.0,23573.0,37121.0,12918.0,70984.0,15341.0,7317.0,16556.0,4025.0,719.0,25760.0,38993.0,32414.0,5357.0,38385.0,13360.0
Vendée,2142270.0,11,7,30,25,63,4,4,1512270.0,816.991666545,3460.0,4040.0,11973.0,327.0,47053.0,116914.0,25282.0,48078.0,3125.0,107488.0,16084.0,4952.0,19177.0,3196.0,566.0,29833.0,57555.0,42975.0,984.0,53847.0,13512.0
Vienne,1076110.0,7,5,12,4,37,9,0,738060.0,978.224593999,2874.0,3694.0,4645.0,251.0,31408.0,65036.0,16173.0,27305.0,3565.0,60447.0,10261.0,3897.0,13539.0,2996.0,877.0,23608.0,36067.0,28050.0,1175.0,34622.0,10027.0
Vosges,833000.0,11,6,6,19,39,0,0,763370.0,1754.333514648,2133.0,11279.0,4118.0,241.0,32927.0,54122.0,16666.0,29933.0,3945.0,53727.0,10225.0,5294.0,12771.0,2298.0,309.0,23464.0,27851.0,25090.0,1441.0,28741.0,11030.0
Yonne,532680.0,7,4,6,20,63,13,8,466420.0,1202.202306439,1852.0,6110.0,4327.0,223.0,24094.0,54645.0,15467.0,24758.0,5082.0,51443.0,9369.0,4682.0,11033.0,1670.0,88.0,17559.0,28961.0,21982.0,1805.0,28290.0,9026.0
Yvelines,3149870.0,24,12,17,26,93,0,0,2610760.0,769.514471261,38068.0,41270.0,9679.0,1283.0,71231.0,113885.0,41859.0,55820.0,33477.0,147629.0,28555.0,17508.0,30860.0,25825.0,1386.0,56338.0,51472.0,43815.0,10812.0,77629.0,25621.0
